ID,Responded,Previous,ControlPackage,PostalCode,Age,Income,Education,Reside,Gender,Married,Children,Region
08031,#NULL!,0,#NULL!,92630,30,4,5,9,0,0,0,4
01971,#NULL!,0,#NULL!,92700,39,1,3,12,0,0,0,4
09689,#NULL!,0,#NULL!,93450,32,2,2,8,0,0,0,4
06108,#NULL!,0,#NULL!,93990,59,3,2,13,0,0,1,4
09853,#NULL!,0,#NULL!,94650,35,2,2,10,0,0,0,4
06802,#NULL!,0,#NULL!,94690,20,1,5,12,0,0,0,4
07597,#NULL!,0,#NULL!,95420,35,2,4,15,0,0,0,4
03692,0,0,0,95510,48,3,4,9,0,0,1,4
00071,#NULL!,0,#NULL!,95760,47,1,5,10,0,0,0,4
00769,#NULL!,0,#NULL!,96360,33,4,1,14,0,0,0,4
08468,#NULL!,0,#NULL!,97230,60,3,4,5,0,0,1,4
03623,#NULL!,0,#NULL!,92690,47,3,2,7,0,0,0,4
01353,#NULL!,0,#NULL!,95090,28,4,4,6,0,0,0,4
07055,#NULL!,0,#NULL!,95130,48,3,4,10,0,0,0,4
04341,#NULL!,0,#NULL!,96340,51,2,5,11,0,0,1,4
01607,#NULL!,0,#NULL!,75820,38,2,4,6,0,0,0,2
07962,#NULL!,0,#NULL!,73990,40,3,3,11,0,0,0,2
08680,#NULL!,0,#NULL!,74000,38,3,5,5,0,0,0,2
03295,0,1,0,74010,33,1,1,12,0,0,0,2
02364,0,0,1,74020,32,4,2,5,0,0,0,2
04745,#NULL!,0,#NULL!,74020,15,2,4,4,0,0,0,2
06525,#NULL!,0,#NULL!,74030,28,3,3,9,0,0,0,2
08074,#NULL!,0,#NULL!,74050,37,3,4,5,0,0,0,2
05591,0,0,1,74050,27,3,5,13,0,0,0,2
04980,0,0,1,74050,41,3,5,5,0,0,0,2
03326,#NULL!,0,#NULL!,74070,14,1,4,10,0,0,0,2
01389,0,0,1,74070,27,3,4,13,0,0,0,2
00326,#NULL!,0,#NULL!,74080,25,3,2,10,0,0,0,2
09804,#NULL!,0,#NULL!,74090,34,1,5,9,0,0,0,2
01572,#NULL!,0,#NULL!,74090,33,1,3,4,0,0,0,2
00178,#NULL!,0,#NULL!,74090,34,2,3,11,0,0,0,2
06212,#NULL!,0,#NULL!,74110,34,4,5,11,0,0,0,2
07167,#NULL!,0,#NULL!,74110,32,2,3,6,0,0,0,2
08387,#NULL!,0,#NULL!,74120,53,2,4,10,0,0,1,2
01973,#NULL!,0,#NULL!,74120,54,3,3,8,0,0,0,2
01763,#NULL!,0,#NULL!,74130,33,2,5,4,0,0,1,2
07666,#NULL!,0,#NULL!,74140,32,3,4,15,0,0,0,2
07196,#NULL!,0,#NULL!,74150,37,4,2,12,0,0,0,2
03754,#NULL!,0,#NULL!,74150,37,4,3,6,0,0,0,2
04982,0,0,1,74150,34,1,2,11,0,0,0,2
07563,#NULL!,0,#NULL!,74200,59,4,1,9,0,0,0,2
06583,#NULL!,0,#NULL!,74220,31,3,3,11,0,0,0,2
01013,#NULL!,0,#NULL!,74230,25,3,5,6,0,0,0,2
02216,#NULL!,0,#NULL!,74230,48,4,2,10,0,0,0,2
06017,#NULL!,0,#NULL!,74230,43,4,1,7,0,0,0,2
01994,#NULL!,0,#NULL!,74230,47,4,3,9,0,0,0,2
01073,#NULL!,0,#NULL!,74230,34,4,3,10,0,0,0,2
00251,#NULL!,0,#NULL!,74240,44,3,1,12,0,0,0,2
06345,#NULL!,0,#NULL!,74240,25,1,3,15,0,0,0,2
08187,#NULL!,0,#NULL!,74240,50,4,4,7,0,0,0,2
01689,#NULL!,1,#NULL!,74270,35,1,5,2,0,0,0,2
06132,#NULL!,0,#NULL!,74280,39,1,1,12,0,0,0,2
03305,#NULL!,0,#NULL!,74290,25,1,4,15,0,0,0,2
09109,#NULL!,0,#NULL!,74290,40,4,1,12,0,0,0,2
07736,#NULL!,0,#NULL!,74300,38,4,3,10,0,0,0,2
03805,#NULL!,0,#NULL!,74300,28,2,1,15,0,0,0,2
02510,#NULL!,0,#NULL!,74320,30,4,2,13,0,0,0,2
06914,#NULL!,1,#NULL!,74330,22,1,3,7,0,0,0,2
01548,#NULL!,0,#NULL!,74340,60,4,5,10,0,0,0,2
02948,#NULL!,0,#NULL!,74350,33,2,5,4,0,0,1,2
02446,#NULL!,0,#NULL!,74350,48,2,2,8,0,0,1,2
